filename,Site_Type,Site_Name,Site_Code,species_richness,Year,ACI_11k,ACI_24k,ADI,AEI,BI_11k,BI_24k,H,NDSI,NP_11k,NP_24k
AM_SD11_20200213_053500-1,Unrestored,Amjhar,AM_2,0,2020,113.8746925,301.1016579,2.302458,0.008022,0.73341184,0.573750112,0.967637691,0.616083898,26,55
AM_SD11_20200213_053500-2,Unrestored,Amjhar,AM_2,1,2020,113.7482889,300.4210704,2.302584,0.000916,0.509275444,0.419909161,0.976083105,0.633745884,25,50
AM_SD11_20200213_053500-3,Unrestored,Amjhar,AM_2,1,2020,114.1070337,301.1555778,2.302584,0.000771,0.73471694,0.565459152,0.979160314,0.49291948,29,61
AM_SD11_20200213_053500-4,Unrestored,Amjhar,AM_2,0,2020,112.454125,298.6306084,2.302584,0.000893,0.575537876,0.414541932,0.981526959,0.653093242,28,59
AM_SD11_20200213_053500-5,Unrestored,Amjhar,AM_2,1,2020,113.5353545,299.0414097,2.302585,0.000344,0.670574466,0.540659688,0.981497979,0.562754692,24,59
AM_SD11_20200213_053500-6,Unrestored,Amjhar,AM_2,1,2020,113.2981657,300.0397743,2.302585,0.000312,0.977065947,0.582374782,0.980869991,0.583565446,26,61
AM_SD11_20200213_055000-1,Unrestored,Amjhar,AM_2,2,2020,113.9262941,300.9591634,2.302583,0.001079,0.610809573,0.487663896,0.976055201,0.283503142,26,55
AM_SD11_20200213_055000-2,Unrestored,Amjhar,AM_2,0,2020,114.0869201,300.8548714,2.302585,0.000459,0.718062543,0.544855233,0.979397896,0.658386268,23,57
AM_SD11_20200213_055000-3,Unrestored,Amjhar,AM_2,1,2020,113.5222125,300.2255797,2.302584,0.000644,0.605738765,0.484621882,0.979125326,0.650981803,26,57
AM_SD11_20200213_055000-4,Unrestored,Amjhar,AM_2,1,2020,113.3540094,299.312158,2.302579,0.001884,0.743604455,0.604972533,0.976080026,0.473025112,23,57
AM_SD11_20200213_055000-5,Unrestored,Amjhar,AM_2,1,2020,113.780842,300.3971832,2.302582,0.001318,0.621696373,0.50279244,0.970916209,0.594308609,25,57
AM_SD11_20200213_055000-6,Unrestored,Amjhar,AM_2,1,2020,113.2389146,298.9837885,2.302567,0.003081,0.827834402,0.553966048,0.9732754,0.446861834,24,60
AM_SD11_20200213_063000-1,Unrestored,Amjhar,AM_2,1,2020,113.3846703,299.3573185,2.30194,0.018622,1.63553954,1.400498157,0.963835597,0.452478412,23,54
AM_SD11_20200213_063000-2,Unrestored,Amjhar,AM_2,1,2020,114.9113069,300.2968483,2.299945,0.037915,1.091353229,0.799981513,0.964726923,0.428962696,24,55
AM_SD11_20200213_063000-3,Unrestored,Amjhar,AM_2,1,2020,113.7067124,300.2921494,2.301667,0.022108,1.620288689,1.366938269,0.965411934,0.423292416,16,50
AM_SD11_20200213_063000-4,Unrestored,Amjhar,AM_2,1,2020,113.5076237,299.0543718,2.301185,0.027353,1.382991751,1.206810381,0.952690182,0.233139984,23,53
AM_SD11_20200213_063000-5,Unrestored,Amjhar,AM_2,1,2020,113.6141917,300.3330888,2.302581,0.001528,1.43130078,1.217228559,0.978483304,0.5484538,23,58
AM_SD11_20200213_063000-6,Unrestored,Amjhar,AM_2,1,2020,113.5194077,299.1504615,2.299324,0.043588,1.680158311,1.453853867,0.965557549,0.554657304,24,60
AM_SD11_20200213_064000-1,Unrestored,Amjhar,AM_2,0,2020,114.636645,302.4144077,1.577721,0.62845,7.577016303,5.571713897,0.715349384,-0.570492026,20,48
AM_SD11_20200213_064000-2,Unrestored,Amjhar,AM_2,0,2020,117.9080947,314.3495451,1.636049,0.603974,7.01047796,5.948264147,0.727224069,-0.622019148,17,46
AM_SD11_20200213_064000-3,Unrestored,Amjhar,AM_2,0,2020,119.0819044,315.3725594,1.505798,0.652885,10.57674598,5.408461605,0.694639236,-0.663327577,17,43
AM_SD11_20200213_064000-4,Unrestored,Amjhar,AM_2,0,2020,113.6105102,299.8086561,1.862058,0.511965,5.118772593,4.494594676,0.829740608,-0.735235136,22,59
AM_SD11_20200213_064000-5,Unrestored,Amjhar,AM_2,0,2020,115.7042672,308.9648292,1.578831,0.627389,4.631041495,3.776305164,0.90970636,0.458898933,17,53
AM_SD11_20200213_064000-6,Unrestored,Amjhar,AM_2,0,2020,114.3944083,300.7164179,2.302572,0.002923,2.244157176,2.087705126,0.966155698,-0.010257204,21,57
AM_SD11_20200215_055000-1,Unrestored,Amjhar,AM_2,2,2020,114.239038,300.9383424,2.302584,0.000616,1.100114686,0.925361769,0.972444433,0.359977305,24,58
AM_SD11_20200215_055000-2,Unrestored,Amjhar,AM_2,3,2020,114.3836824,301.2667658,2.302579,0.001728,0.843582615,0.691628623,0.9694949,0.357776862,20,57
AM_SD11_20200215_055000-3,Unrestored,Amjhar,AM_2,3,2020,113.6193013,300.9233201,2.302583,0.00119,0.882517656,0.716684585,0.970926971,0.380799541,24,61
AM_SD11_20200215_055000-4,Unrestored,Amjhar,AM_2,3,2020,113.5084187,300.794586,2.302578,0.001973,0.766426606,0.682620398,0.968243541,0.341775468,22,57
AM_SD11_20200215_055000-5,Unrestored,Amjhar,AM_2,4,2020,113.2750565,299.2106466,2.302552,0.004016,1.143463124,0.971725577,0.96399746,0.262478943,25,56
AM_SD11_20200215_055000-6,Unrestored,Amjhar,AM_2,4,2020,114.3652818,301.6447155,2.302558,0.003645,1.000185411,0.805152494,0.968416425,0.456028705,25,58
AM_SD11_20200215_055500-1,Unrestored,Amjhar,AM_2,2,2020,113.7626151,301.8369765,2.302568,0.002845,0.982099972,0.837525454,0.970105339,0.068608713,23,59
AM_SD11_20200215_055500-2,Unrestored,Amjhar,AM_2,2,2020,115.2491216,304.0895836,2.302584,0.000813,1.03466651,0.711268047,0.969753237,0.230867121,23,60
AM_SD11_20200215_055500-3,Unrestored,Amjhar,AM_2,2,2020,114.0653154,301.947432,2.302571,0.002815,0.898365995,0.74992867,0.968214829,0.090656208,23,57
AM_SD11_20200215_055500-4,Unrestored,Amjhar,AM_2,2,2020,114.4037331,301.8175229,2.302579,0.001895,1.062460719,0.880801574,0.969574838,0.22138934,26,60
AM_SD11_20200215_055500-5,Unrestored,Amjhar,AM_2,3,2020,113.7384448,301.0301277,2.302581,0.001454,0.99583788,0.899355582,0.970526741,0.361230109,21,57
AM_SD11_20200215_055500-6,Unrestored,Amjhar,AM_2,3,2020,113.9927027,301.6155307,2.302557,0.00382,1.060032247,0.94197509,0.969623911,0.335712503,26,61
AM_SD11_20200215_064000-1,Unrestored,Amjhar,AM_2,4,2020,116.9162403,302.9021405,2.302577,0.002273,2.708722414,2.364433401,0.96956712,0.544605344,22,56
AM_SD11_20200215_064000-2,Unrestored,Amjhar,AM_2,3,2020,116.7574504,304.0881148,2.302561,0.003567,2.216978828,1.364529578,0.971055042,0.500666124,23,57
AM_SD11_20200215_064000-3,Unrestored,Amjhar,AM_2,4,2020,117.5634897,304.1023882,2.302577,0.002184,3.427102807,3.164619764,0.970547167,0.743539044,16,53
AM_SD11_20200215_064000-4,Unrestored,Amjhar,AM_2,5,2020,116.365332,303.8575034,2.302568,0.003199,4.206556433,3.482586333,0.96917203,0.837414347,21,56
AM_SD11_20200215_064000-5,Unrestored,Amjhar,AM_2,4,2020,116.3208145,303.1144702,2.302519,0.006381,3.907458313,3.180239288,0.970345128,0.750534603,19,53
AM_SD11_20200215_064000-6,Unrestored,Amjhar,AM_2,3,2020,118.4369259,307.8914326,2.302574,0.002596,3.695019776,3.030078878,0.969701374,0.773300235,22,58
AM_SD11_20200215_075500-1,Unrestored,Amjhar,AM_2,4,2020,116.0921724,303.2490451,2.300938,0.031851,2.789734208,2.474269592,0.9486399,-0.258148614,22,59
AM_SD11_20200215_075500-2,Unrestored,Amjhar,AM_2,5,2020,115.6992557,302.5666683,2.30233,0.012499,3.961308609,3.695474579,0.954280816,0.658087727,21,58
AM_SD11_20200215_075500-3,Unrestored,Amjhar,AM_2,5,2020,116.1283121,302.770206,2.302212,0.015173,4.650036103,3.822402923,0.955476856,0.114225355,19,55
AM_SD11_20200215_075500-4,Unrestored,Amjhar,AM_2,6,2020,115.2894906,301.9946614,2.301466,0.025539,2.433164467,2.131611605,0.951005749,-0.481696276,21,55
AM_SD11_20200215_075500-5,Unrestored,Amjhar,AM_2,7,2020,116.1586877,301.8160643,2.297135,0.056352,3.217690108,2.669112362,0.948418231,-0.495526612,19,56
AM_SD11_20200215_075500-6,Unrestored,Amjhar,AM_2,8,2020,116.7691201,304.6016252,2.299722,0.041681,2.944037216,2.708930826,0.950271138,-0.416858103,23,61
AM_SD11_20200215_080500-1,Unrestored,Amjhar,AM_2,3,2020,115.2873997,302.102905,2.302578,0.002135,1.886318294,1.704574237,0.962177745,0.598234643,25,61
AM_SD11_20200215_080500-2,Unrestored,Amjhar,AM_2,2,2020,115.4891746,304.3702825,2.302578,0.002045,1.722776123,1.566530302,0.965772313,0.479822279,23,54
AM_SD11_20200215_080500-3,Unrestored,Amjhar,AM_2,5,2020,115.7693914,303.4716525,2.302578,0.002027,2.385367958,1.524355591,0.965322697,0.60996219,21,57
AM_SD11_20200215_080500-4,Unrestored,Amjhar,AM_2,7,2020,115.6036665,302.277923,2.301961,0.019423,3.415961415,2.768274398,0.965357161,0.274188749,26,57
AM_SD11_20200215_080500-5,Unrestored,Amjhar,AM_2,7,2020,115.1154668,301.2326435,2.30253,0.005926,3.494547016,3.138275253,0.964816496,0.391094603,25,60
AM_SD11_20200215_080500-6,Unrestored,Amjhar,AM_2,5,2020,115.3005305,302.2326783,2.302478,0.008258,2.94206629,2.584948341,0.966038639,0.658439056,22,57
AM_SD11_20200216_053000-1,Unrestored,Amjhar,AM_2,2,2020,114.125505,301.2518884,2.30256,0.00356,1.173588465,0.958521959,0.960371546,0.025385129,25,60
AM_SD11_20200216_053000-2,Unrestored,Amjhar,AM_2,2,2020,115.9407283,303.7864463,2.301615,0.021847,1.77930783,1.549113508,0.949031055,-0.446364933,26,64
AM_SD11_20200216_053000-3,Unrestored,Amjhar,AM_2,2,2020,113.9727977,299.9460822,2.289259,0.082665,1.397983929,1.256295977,0.941625748,-0.778639994,22,57
AM_SD11_20200216_053000-4,Unrestored,Amjhar,AM_2,2,2020,113.5815042,302.2063243,2.302554,0.004059,0.819896828,0.680652864,0.964753296,0.209751798,22,56
AM_SD11_20200216_053000-4(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
AM_SD11_20200216_053000-5,Unrestored,Amjhar,AM_2,1,2020,112.503087,299.1925555,2.302575,0.002323,1.183229162,1.020896584,0.964265254,-0.06812141,28,63
AM_SD11_20200216_053000-5(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
AM_SD11_20200216_053000-6,Unrestored,Amjhar,AM_2,2,2020,113.4384037,300.6412088,2.302298,0.011468,1.156600406,1.009557205,0.960906474,-0.318282747,23,58
AM_SD11_20200216_053000-6(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
AM_SD11_20200216_063500-1,Unrestored,Amjhar,AM_2,4,2020,116.0141914,303.1966389,2.302527,0.005804,3.391323322,2.71284787,0.964455648,0.761645441,22,57
AM_SD11_20200216_063500-1(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
AM_SD11_20200216_063500-2,Unrestored,Amjhar,AM_2,5,2020,114.0987347,301.5642721,2.302549,0.004525,2.56097638,1.723775227,0.96627855,0.621755084,19,55
AM_SD11_20200216_063500-2(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
AM_SD11_20200216_063500-3,Unrestored,Amjhar,AM_2,5,2020,114.9073414,303.0262346,2.302569,0.003101,2.136393062,1.487369324,0.965173743,0.59449794,19,58
AM_SD11_20200216_063500-3(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
AM_SD11_20200216_063500-4,Unrestored,Amjhar,AM_2,5,2020,116.6502832,303.5916237,2.302295,0.013231,4.528915243,2.869609597,0.96604723,0.841163737,19,52
AM_SD11_20200216_063500-4(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
AM_SD11_20200216_063500-5,Unrestored,Amjhar,AM_2,7,2020,117.0631138,303.9204893,2.302567,0.003327,3.986064702,3.36425997,0.965718827,0.78004014,20,55
AM_SD11_20200216_063500-5(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
AM_SD11_20200216_063500-6,Unrestored,Amjhar,AM_2,8,2020,115.98219,303.8127064,2.294337,0.069984,4.086090586,3.678542817,0.960057293,0.283342155,19,51
AM_SD11_20200216_063500-6(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
AM_SD11_20200216_065000-1,Unrestored,Amjhar,AM_2,4,2020,117.2353944,304.9066182,2.302474,0.00843,6.292960985,4.835686616,0.962283755,0.806648908,21,50
AM_SD11_20200216_065000-2,Unrestored,Amjhar,AM_2,2,2020,114.9908199,303.1610844,2.302561,0.003887,3.10706065,2.91932562,0.966465953,0.660441787,25,59
AM_SD11_20200216_065000-3,Unrestored,Amjhar,AM_2,3,2020,116.5669694,303.0833451,2.302524,0.006255,4.599577255,4.4246842,0.965338527,0.76548333,22,55
AM_SD11_20200216_065000-4,Unrestored,Amjhar,AM_2,4,2020,116.7320293,304.6770334,2.298129,0.052291,8.02721071,5.806598903,0.946445303,0.94840137,14,52
AM_SD11_20200216_065000-5,Unrestored,Amjhar,AM_2,4,2020,115.0334259,302.0419382,2.301774,0.022398,7.351600643,6.867290479,0.954468172,0.94253765,19,52
AM_SD11_20200216_065000-6,Unrestored,Amjhar,AM_2,6,2020,118.8687163,306.4585735,2.302225,0.015063,5.15914956,4.809154074,0.961132439,0.88898556,21,56
AM_SD11_20200216_065500-1,Unrestored,Amjhar,AM_2,4,2020,117.0639579,302.9107934,2.302064,0.017173,6.506772713,4.163035704,0.957642511,0.862543141,22,59
AM_SD11_20200216_065500-2,Unrestored,Amjhar,AM_2,5,2020,123.9731644,312.8562203,2.297397,0.054992,9.838521483,6.396084408,0.947595768,0.940551403,18,52
AM_SD11_20200216_065500-3,Unrestored,Amjhar,AM_2,4,2020,118.6892218,304.6912154,2.302582,0.001308,3.332896573,2.315815147,0.970710221,0.670350265,23,62
AM_SD11_20200216_065500-4,Unrestored,Amjhar,AM_2,6,2020,124.109327,313.2278837,2.297543,0.05559,10.48867763,6.42331505,0.94755508,0.949764384,22,60
AM_SD11_20200216_065500-5,Unrestored,Amjhar,AM_2,6,2020,116.616651,303.5610705,2.30258,0.001787,2.707357607,1.655787396,0.968388118,0.61081798,23,57
AM_SD11_20200216_065500-6,Unrestored,Amjhar,AM_2,5,2020,116.4453045,303.6142829,2.302563,0.003646,2.056586437,1.784687765,0.963585143,0.577876277,21,55
AM_SD11_20200217_053500-1,Unrestored,Amjhar,AM_2,2,2020,114.1755759,301.0011303,2.302571,0.002879,1.109948916,0.991524589,0.962795432,0.115127749,23,61
AM_SD11_20200217_053500-2,Unrestored,Amjhar,AM_2,3,2020,113.3733538,300.9650146,2.302578,0.001859,1.404303005,1.180440874,0.958579029,-0.205362241,20,54
AM_SD11_20200217_053500-3,Unrestored,Amjhar,AM_2,4,2020,113.6206409,300.6531458,2.302563,0.003364,1.593035925,1.468682853,0.959677003,-0.065564169,24,61
AM_SD11_20200217_053500-4,Unrestored,Amjhar,AM_2,3,2020,114.1218689,302.5283868,2.302482,0.007547,1.424836302,1.167004464,0.957717046,-0.435210556,23,59
AM_SD11_20200217_053500-5,Unrestored,Amjhar,AM_2,4,2020,113.8978452,301.8161128,2.302576,0.002184,1.0303839,0.862113008,0.965276619,0.192678648,21,53
AM_SD11_20200217_053500-6,Unrestored,Amjhar,AM_2,4,2020,113.6667684,300.3894346,2.302571,0.002747,1.162156635,1.00876221,0.962136661,-0.250788452,24,60
